name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small_final_winner,small_final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Kokorin Stanislav,NAN,5.0,16.52,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,False,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Sinitcyn Sergei,NAN,6.0,18.90,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,False,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Abdrakhmanov Sergey,NAN,7.0,24.51,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,False,24.51,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Komosinski Jedrzej,NAN,8.0,FALL,IFSC Climbing Worldcup (S)  - Daone (ITA) 2009,570,2009,Daone,Speed,Men,2009-08-01,/api/v1/events/570/result/2,2009-08-01_Daone_Speed_Men_Final.csv,2009,API_Results_Expanded/2009/2009-08-01_Daone_Speed_Men_Final.csv,Final,/api/v1/category_rounds/1190/results,,,,,False,FALL,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-08-01,Daone,Speed,Men,Final,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Zhong QiXin,CHN,1.0,Wildcard,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Nigmatulin Alexandr,KAZ,2.0,2.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Novikov Ivan,RUS,3.0,3.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Abdrakhmanov Sergey,RUS,4.0,4.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
ZHANG Ning,CHN,5.0,5.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Sinitcyn Sergei,RUS,6.0,6.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Vaitsekhovskii Evgenii,RUS,7.0,7.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Hroza Libor,CZE,8.0,8.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Styenkovyy Maksym,UKR,9.0,9.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Komondi Csaba,HUN,10.0,10.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Chang Yeu-Shiang,TPE,11.0,11.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Komosinski Jedrzej,POL,12.0,12.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Li Guangpu,CHN,13.0,13.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Kosterin Alexander,RUS,14.0,14.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Kokorin Stanislav,RUS,15.0,15.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Zhang Yuhang,CHN,16.0,16.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Qiu jilong,CHN,17.0,17.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Tzeng  Jiun-Jie,TPE,18.0,18.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
Oleksy Tomasz,POL,19.0,19.000,IFSC Climbing World Championships  - Qinghai (CHN) 2009,568,2009,Quinghai,Speed,Men,2009-06-30,/api/v1/events/568/result/2,2009-06-30_Quinghai_Speed_Men_Qualification.csv,2009,API_Results_Expanded/2009/2009-06-30_Quinghai_Speed_Men_Qualification.csv,Qualification,/api/v1/category_rounds/1175/results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-30,Quinghai,Speed,Men,Qualification,2025-08-31 11:48:57.913839,Speed_IFSC_Time_2009-2025
