name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
Ring Alina,1528.7875674430788,21,1.37,7.85,20.0,1481.99,1539.87
VAN DER MEER Lynn,1528.7581468965006,16,1.8,7.64,18.75,1505.07,1532.68
Fiser Julia,1528.0949215646685,64,0.44,6.0,24.27,1490.02,1578.29
Ghisolfi Claudia,1527.8628604075582,67,0.42,5.01,28.4,1475.81,1544.31
Costanza Melina,1527.8231750572863,6,4.64,6.33,26.17,1512.3,1530.77
ODA Natsumi,1527.749554922767,20,1.39,7.87,18.5,1508.82,1549.09
Kamin Rebeka,1526.775034904237,20,1.34,5.74,20.45,1499.89,1536.59
BUCKLEY Jennifer Eucharia,1525.7920583418716,6,4.3,3.3,21.17,1508.16,1525.79
SMETANOVA Michaela,1525.5677856332966,13,1.97,7.08,22.69,1491.28,1525.57
Harrington Emily,1525.48756653274,9,2.83,7.21,13.89,1509.47,1540.16
Douady Luce,1525.0756154151763,4,6.27,7.48,16.25,1507.4,1525.08
Repusic Urska,1524.9286428530702,10,2.49,6.19,32.2,1507.97,1534.93
Pinet Florence,1524.5712790059954,35,0.7,8.28,14.46,1469.11,1537.05
Ociepka Kinga,1523.5865967665095,22,1.07,5.01,16.18,1497.49,1531.58
FISER Julia,1523.0375062372802,12,1.92,7.2,19.75,1505.95,1532.64
Gollo Asja,1523.0303543591929,18,1.28,4.89,26.11,1491.7,1523.03
Lettner Sandra,1521.6913982525125,18,1.21,6.02,29.67,1500.08,1529.23
Smetanova Michaela,1521.108228458464,20,1.06,5.1,33.4,1485.45,1526.02
Berthier Nolwen,1519.5776251718678,29,0.68,5.67,28.24,1469.89,1520.8
LUO Zhilu,1519.4393171470786,10,1.94,7.63,19.6,1503.84,1521.72
Slaney Hannah,1519.1627671755339,7,2.74,6.56,24.57,1503.76,1523.92
Krasovskaia Elena,1518.5929499673528,15,1.24,4.6,33.8,1497.89,1519.09
Hiroshige Yuki,1518.4600554919166,25,0.74,6.41,22.72,1476.12,1529.33
MARTÍNEZ ALMENDROS Iziar,1517.538264397566,5,3.51,5.55,24.2,1505.68,1518.38
TARKUS Lucija,1516.501376747111,10,1.65,7.93,20.5,1496.09,1516.99
Oblasser Flora,1515.909377915573,2,7.95,4.06,13.5,1510.82,1515.91
LUKAN Vita,1515.598567300111,15,1.04,10.12,15.07,1514.2,1542.04
Kim Lan,1515.0912709273348,10,1.51,6.17,29.9,1500.95,1524.08
CLARK Adriene Akiko,1513.7468538741778,6,2.29,8.98,21.0,1500.34,1513.75
Rekabi Elnaz,1513.3712739604248,16,0.84,6.1,29.94,1484.65,1513.37
Wurm Juliane,1513.0674629856737,31,0.42,7.7,18.06,1456.6,1513.07
Avezou Cecile,1512.5276547669507,20,0.63,6.96,18.35,1489.47,1512.53
