name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B
JO Jinyong,KOR,37,5.61,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,5.619,5.686
MURAT Alisher,KAZ,38,5.66,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,5.796,5.667
BOSSERT Braeden,CAN,39,6.03,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNF,6.031
JIN RUI Andre Ho,SGP,40,6.14,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,7.057,6.143
LEE Yongsu,KOR,41,6.17,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNF,6.174
SZALECKI Oskar,POL,42,6.18,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,6.184,8.448
AU Chi-Fung,HKG,43,6.25,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,6.258,8.804
WHITNEY Jack,CAN,44,6.477,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,10.879,6.477
GODDARD Aidan,USA,45,6.478,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,6.478,7.957
DAVID Julian,NZL,46,6.72,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,6.725,DNF
TURNER Luke,GBR,47,6.86,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,6.861,7.087
KALIBAY Zhandos,KAZ,48,7.01,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,7.01,7.155
LING Yongzhi,CHN,49,7.05,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,8.489,7.05
CHISHOLM Flynn,NZL,50,7.07,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,7.198,7.071
"LOW Ezell, Qing Wei",SGP,51,8.47,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNF,8.477
BADER Linus,GER,52,8.83,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNF,8.834
WONG Cheuk-Nam,HKG,53,11.63,IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNF,11.638
YASUKAWA Jun,JPN,54,FALSE START (5367),IFSC World Cup Wujiang 2025,1406,2025,"Wujiang, CHN",Speed,Men,Qualification,2025-04-25,/api/v1/category_rounds/9385/results,/api/v1/events/1406/result/2,DNS,5.367
