name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
KURIC Peter,SVK,49.0,20.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,X
LAPORTE Corentin,BEL,52.0,38.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,7,X,1,X,1,X,6,X,X
ARRIAGADA KRÜGER Elias,GER,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,1,X,X,X,X
SARTIRANA Nicolò,ITA,53.0,34.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,2,2,X,X,X,X
INTRACHUPONGSE Ardch,THA,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,1,X,X,X,X
Salimian Ali,IRI,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X
GUIGNARD Louis,SUI,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X
MYRONENKO Mykyta,UKR,53.0,19.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,2,X,X,X,X
SANO Daiki,JPN,59.0,34.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,3,1,X,2,X,X,X,X
ENACHE Călin,ROU,60.0,34.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,5,4,X,2,X,X,X,X
MARTÍN ÁLVAREZ Hugo,ESP,61.0,34.4,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,6,2,1,X,X,X,X
RODRIGUEZ Matthew,CAN,62.0,29.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,2
WIMMER Julian,AUT,63.0,29.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,4
XU Ziqi,CHN,63.0,19.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,X,X,X,X,3
Würthner Tim,GER,63.0,19.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,2,X,X,X,X
PARKS Dylan,AUS,63.0,29.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,X,X,4
HANNA Benjamin,USA,63.0,19.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,3,X,1,X,X,X,X
URRUTIA Joaquin,CHI,63.0,19.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,X,2,X,X,X,X
Wagner Christian,CHI,69.0,29.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,4,X,X,X,2
HOFHERR Andreas,AUT,70.0,29.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,4,X,2,X,X,X,4
MARTIN Nathan,LUX,71.0,19.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,4,X,X,X,X
Da Silva Samuel Carlos  ,BRA,71.0,24.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,X,3,3,X,X,X,X
