name,event,year,date,discipline,gender,round,rank,elo_before,elo_after,elo_change,competed
PEHARC Anze,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,12.0,1527.178092857789,1538.1787510944416,11.0006582366527,True
AMAGASA Sohta,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,14.0,1571.2599062821555,1579.740540276875,8.480633994719488,True
VAN DUYSEN Hannes,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,15.0,1515.760926872292,1526.0881893320416,10.32726245974957,True
AKHTAR Dayan,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,31.0,1529.1526193851719,1533.5379583588115,4.385338973639495,True
NARASAKI Tomoa,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Qualification,41.0,1558.659742530795,1558.235602822275,-0.4241397085199296,True
ANRAKU Sorato,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,1.0,1633.0910103652643,1644.2482510721643,11.157240706900017,True
SCHALCK Mejdi,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,2.0,1577.7448271653222,1590.1894428367912,12.444615671468968,True
AMAGASA Sohta,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,3.0,1579.740540276875,1590.8836674223624,11.14312714548731,True
LEE Dohyun,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,4.0,1582.4356233899584,1592.2427029349835,9.80707954502512,True
PAN Yufei,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,5.0,1514.1578257973308,1525.9684860811615,11.81066028383068,True
PEHARC Anze,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,6.0,1538.1787510944416,1547.6413270870378,9.462575992596138,True
VAN DUYSEN Hannes,IFSC World Cup Prague 2025,2025,2025-06-06,Boulder,Men,Semi-final,8.0,1526.0881893320416,1533.6955607586576,7.607371426616059,True
PAN Yufei,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,1.0,1547.966294713094,1565.6102608109697,17.64396609787577,True
SCHALCK Mejdi,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,2.0,1619.1978194439394,1628.7048592585586,9.507039814619247,True
ANRAKU Sorato,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,3.0,1670.3704943286161,1672.8005369871328,2.4300426585165615,True
LEE Dohyun,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,4.0,1605.7051892622978,1606.8414710589057,1.1362817966077592,True
VAN DUYSEN Hannes,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,5.0,1555.9541095293296,1555.098821925363,-0.8552876039665804,True
AKHTAR Dayan,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Final,8.0,1556.772845607959,1542.0634311009187,-14.70941450704034,True
ANRAKU Sorato,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,1.0,1651.9023920951952,1661.2849002216678,9.38250812647276,True
LEE Dohyun,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,1.0,1579.7727257269096,1592.1764725972268,12.403746870317361,True
SCHALCK Mejdi,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,3.0,1605.0696133728086,1615.6441964953344,10.574583122525823,True
VAN DUYSEN Hannes,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,3.0,1528.856731133149,1542.8430575686245,13.986326435475515,True
AMAGASA Sohta,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,5.0,1592.219565636192,1602.6252614316552,10.405695795463094,True
PEHARC Anze,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,7.0,1532.8290888333868,1545.1816149166339,12.352526083247136,True
PAN Yufei,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,7.0,1526.0954478439808,1538.7645615616013,12.669113717620542,True
AKHTAR Dayan,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,9.0,1533.5379583588115,1545.1355038188246,11.59754546001312,True
NARASAKI Tomoa,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Qualification,11.0,1558.235602822275,1567.9833983151166,9.747795492841504,True
LEE Dohyun,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,1.0,1592.1764725972268,1605.7051892622978,13.528716665070956,True
ANRAKU Sorato,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,2.0,1661.2849002216678,1670.3704943286161,9.08559410694818,True
VAN DUYSEN Hannes,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,3.0,1542.8430575686245,1555.9541095293296,13.111051960705021,True
AKHTAR Dayan,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,4.0,1545.1355038188246,1556.772845607959,11.63734178913443,True
