name,event,year,discipline,gender,round,rank,elo_before,elo_after,elo_change
Kümin Andrea,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,17.0,1484.1554979564967,1494.4190376503132,10.263539693816478
Ito Futaba,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,19.0,1500.0,1508.7317273530593,8.731727353059409
Yokoyama Sofya,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,19.0,1500.0,1508.7367526813912,8.736752681391218
Hönig Afra,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,21.0,1500.0,1507.941780900707,7.941780900707135
Toothill Holly,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,21.0,1500.0,1507.94635176122,7.946351761220102
Meul Hannah,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,23.0,1500.0,1507.1509252515568,7.150925251556772
Wienand Roxana,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,23.0,1500.0,1507.1550410738637,7.155041073863743
Kipriianova Ekaterina,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,25.0,1500.0,1506.3591592644245,6.35915926442453
Fischer Madison,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,25.0,1500.0,1506.3628194820353,6.362819482035271
NAKAGAWA Ryu,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,27.0,1500.0,1505.5664818059306,5.566481805930539
Adamovska Eliska,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,27.0,1500.0,1505.56968585629,5.56968585629014
Krampl Mia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,29.0,1500.0,1504.7728917505758,4.772891750575754
Kopf Sienna,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,29.0,1500.0,1504.775639075103,4.775639075103073
Bestvater Alma,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,31.0,1500.0,1503.978387980819,3.9783879808189266
Piazzalunga Mailys,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,31.0,1500.0,1503.980678024945,3.9806780249450546
Wood Jennifer,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,33.0,1500.0,1503.1829693871537,3.182969387153616
Ramezani Rahil,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,33.0,1500.0,1503.1848016003603,3.18480160036037
Debevec Katja,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,35.0,1500.0,1502.3866348681852,2.38663486818526
Pilz Jessica,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,35.0,1500.0,1502.3880087040436,2.3880087040436897
Seo Chaehyun,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,37.0,1500.0,1501.5893833307082,1.5893833307082739
Kazbekova Ievgeniia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,37.0,1500.0,1501.5902982469172,1.5902982469171922
Thompson-Smith Molly,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,39.0,1500.0,1500.7912136897833,0.7912136897831896
Lee Hung Ying,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,39.0,1500.0,1500.7916691482078,0.791669148207709
Bertone Oriane,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,41.0,1500.0,1499.9921248688138,-0.007875131186186046
Pupko Emilie,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,41.0,1500.0,1499.9921203355239,-0.00787966447610372
Zakharova Margaryta,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,43.0,1500.0,1499.1921157996244,-0.8078842003755944
Ulzhabayeva Tamara,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,43.0,1500.0,1499.1916507449334,-0.8083492550665858
Aguado Valentina,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,45.0,1500.0,1498.3911854225369,-1.6088145774631326
KOIKE Hana,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,45.0,1500.0,1498.39025932104,-1.6097406789598794
Piccini Vana,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,47.0,1500.0,1497.589332686448,-2.4106673135520644
Hayes Tara,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,47.0,1500.0,1497.5879450170612,-2.412054982938736
Kindlihagen Ingrid,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,49.0,1500.0,1496.7865565489064,-3.213443451093646
Darabian Mahya,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,49.0,1500.0,1496.7847067949047,-3.21529320509536
Kuzmenko Irina,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,51.0,1500.0,1495.98285597619,-4.017144023809937
KULAGINA Polina,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,51.0,1500.0,1495.9805436252457,-4.019456374754215
Haave Sunniva Eik,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,53.0,1500.0,1495.1782299433833,-4.821770056616662
Teriochina Anastasija,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,53.0,1500.0,1495.175454487605,-4.824545512394915
Dreamer Maya,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,55.0,1500.0,1494.1726774344538,-5.827322565546086
Wulff Thea,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,55.0,1500.0,1494.169323272453,-5.830676727546938
Contreras Alejandra,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,55.0,1500.0,1494.1659671801847,-5.834032819815271
Crowley Grace,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,58.0,1500.0,1493.3626091565386,-6.637390843461303
Shiraiwa Thais Makino,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,59.0,1500.0,1492.7587888319804,-7.241211168019543
Janosova Marketa,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,59.0,1500.0,1492.7546210592116,-7.245378940788413
Shiran Noa,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,61.0,1500.0,1491.9504508883224,-8.049549111677694
GARCIA MOLINA Zoe,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,61.0,1500.0,1491.9458180242846,-8.054181975715366
Torres Illamola Aida,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,63.0,1500.0,1491.141182494788,-8.858817505212118
Potapova Nika,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,63.0,1500.0,1491.1360840543477,-8.863915945652353
Taub Yael,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,65.0,1500.0,1490.1309826809174,-9.869017319082477
Mellado Quinteros Ignacia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,65.0,1500.0,1490.1253031453286,-9.874696854671308
Lin Hsiu-Ju,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,65.0,1500.0,1490.1196203429745,-9.880379657025578
Tunyavanich Puntarika,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,68.0,1500.0,1489.3139342719787,-10.686065728021234
Seibokaite Agniete,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,69.0,1500.0,1488.7077848170545,-11.292215182945505
Hafsaas Tina Johnsen,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,69.0,1500.0,1488.7012867833823,-11.298713216617662
Cherniavska Yevheniia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,71.0,1500.0,1487.8947850130921,-12.10521498690783
Galloway Riley,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,71.0,1500.0,1487.8878195095326,-12.11218049046742
Antunes Patrícia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,73.0,1500.0,1486.4808500011732,-13.519149998826824
Kolkotina Tetiana,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,73.0,1500.0,1486.4730716781428,-13.526928321857316
Marlenova Assel,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,73.0,1500.0,1486.465288884326,-13.534711115674007
Vernikouskaya Maryia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,73.0,1500.0,1486.4575016171611,-13.542498382838797
BALIK GÜLAY,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,73.0,1500.0,1486.4497098740849,-13.55029012591504
Agambayeva Margarita,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,78.0,1500.0,1484.6419136525324,-15.358086347467543
YALCIN DURU GÜNEŞ,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,78.0,1500.0,1484.6330785812033,-15.36692141879676
Flores Camila,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,78.0,1500.0,1484.6242384339287,-15.375761566071265
Contreras Carmen,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,78.0,1500.0,1484.6153932078041,-15.38460679219588
Grossman Natalia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,1.0,1531.0551461687535,1546.1483859823707,15.093239813617112
Moroni Camilla,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,2.0,1521.9606775620232,1535.8461388325768,13.885461270553625
Krasovskaia Elena,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,3.0,1510.665199396948,1523.447089050718,12.781889653769998
Kümin Andrea,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,4.0,1494.4190376503132,1506.3334616082227,11.91442395790954
Raboutou Brooke,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,5.0,1506.887079107916,1516.5433112566955,9.656232148779427
Gejo Stasa,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,6.0,1517.5126505733524,1524.993452102884,7.480801529531563
Gibert Fanny,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,7.0,1515.0185793859127,1520.9541076288797,5.935528242966909
Caulier Chloe,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,8.0,1514.243958490665,1518.5471815348308,4.303223044165871
Meshkova Viktoriia,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,9.0,1515.0272193943522,1517.6187228068466,2.591503412494319
Rakovec Lucka,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,10.0,1511.0957045082637,1512.1996925688704,1.1039880606066723
Kerem Ayala,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,11.0,1510.314410537209,1509.774697659629,-0.5397128775799644
Yokoyama Sofya,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,12.0,1508.7367526813912,1506.5879087926153,-2.148843888775868
Ito Futaba,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,13.0,1508.7317273530593,1504.8937079876537,-3.838019365405738
Nakamura Mao,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,14.0,1511.8820262195457,1506.1979520020443,-5.68407421750124
Lukan Vita,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,15.0,1511.8888633983076,1504.506471864879,-7.382391533428715
Tanii Natsuki,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,16.0,1511.1020895386453,1502.0556967126004,-9.046392826044883
Cullen Kylie,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,17.0,1513.452153381511,1502.5858257820166,-10.866327599494259
Rekabi Elnaz,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,18.0,1512.674733291539,1500.1355127231457,-12.539220568393299
Färber Johanna,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,19.0,1510.3084782407973,1496.1692405126016,-14.139237728195601
Sterrer Franziska,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Semi-Final,20.0,1509.5203462455183,1493.7008013131153,-15.819544932403078
Grossman Natalia,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,1.0,1546.1483859823707,1560.1004660085157,13.952080026145044
Meul Hannah,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,2.0,1507.1509252515568,1516.971455011572,9.82052976001517
LUO ZHILU,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,3.0,1500.0,1503.904278438067,3.9042784380669655
Nonaka Miho,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,4.0,1500.0,1497.5402366578055,-2.4597633421944636
Matsufuji Anon,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,5.0,1500.0,1491.117581778699,-8.882418221300814
Okawachi serika,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Final,6.0,1500.0,1484.6357895026626,-15.36421049733746
Grossman Natalia,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,1.0,1560.1004660085157,1573.2284931825122,13.128027173996518
Gibert Fanny,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,1.0,1520.9541076288797,1535.890153539368,14.936045910488314
Meul Hannah,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,3.0,1516.971455011572,1531.291210162786,14.319755151213878
LUO ZHILU,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,3.0,1503.904278438067,1518.84075373728,14.936475299213074
SEO CHAEHYUN,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,5.0,1500.0,1514.316925934159,14.316925934158807
Okawachi serika,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,5.0,1484.6357895026626,1499.6759757299137,15.040186227251144
Gejo Stasa,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,7.0,1524.993452102884,1537.1517959388527,12.158343835968743
Sterrer Franziska,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,7.0,1493.7008013131153,1507.322519477509,13.621718164393796
Pilz Jessica,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,7.0,1502.3880087040436,1515.6131149110704,13.225106207026704
Ito Futaba,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,10.0,1504.8937079876537,1517.199673071809,12.305965084155243
Kerem Ayala,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,11.0,1509.774697659629,1521.0503692607906,11.2756716011615
Coscoy Cloe,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,11.0,1500.0,1511.7375154183837,11.737515418383824
Lukan Vita,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,11.0,1504.506471864879,1516.040926116716,11.534454251837126
Toothill Holly,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,14.0,1507.94635176122,1518.5171798557658,10.570828094545636
Moroni Camilla,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,15.0,1535.8461388325768,1544.5199282697183,8.673789437141478
Matsufuji Anon,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,15.0,1491.117581778699,1501.8754722976978,10.757890518998794
Nonaka Miho,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,17.0,1497.5402366578055,1507.1954043732856,9.655167715480147
Mackenzie Oceania,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,17.0,1500.0,1509.5462635396198,9.546263539619797
Klingler Petra,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,19.0,1500.0,1508.741700388797,8.741700388796897
Kruder Julija,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,19.0,1500.0,1508.7467951388162,8.74679513881613
Kura Nanako,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,21.0,1500.0,1507.941766274574,7.94176627457405
Tesio Giorgia,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,21.0,1500.0,1507.9463949855592,7.94639498555925
Caulier Chloe,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,23.0,1518.5471815348308,1524.8245238704155,6.277342335584722
Debevec Katja,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,23.0,1502.3866348681852,1509.420037786901,7.033402918715911
Rogora Laura,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,25.0,1500.0,1506.1359852146493,6.135985214649362
Mason Quinn,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,25.0,1500.0,1506.1395617106866,6.139561710686646
Calliet Agathe,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,25.0,1500.0,1506.1431402909307,6.143140290930744
SA SOL,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,28.0,1500.0,1505.336594374317,5.336594374316989
Cullen Kylie,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,29.0,1502.5858257820166,1507.1975190466019,4.6116932645852895
Yokoyama Sofya,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,29.0,1506.5879087926153,1511.015892439023,4.427983646407734
Clark Adriene,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,31.0,1500.0,1503.9272507496687,3.9272507496686107
Totkova Aleksandra,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,31.0,1500.0,1503.9295399759771,3.9295399759770753
Slaney Hannah,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,33.0,1500.0,1503.121703954302,3.1217039543018776
Taub Yael,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,33.0,1490.1309826809174,1493.7136771063524,3.5826944254349207
Yip Alannah,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,35.0,1500.0,1502.3154843907298,2.3154843907298313
Lettner Sandra,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,35.0,1500.0,1502.3168341428582,2.3168341428582435
Aguado Valentina,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,37.0,1498.3911854225369,1499.9741471520763,1.5829617295395004
Hammelmüller Eva Maria,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,37.0,1500.0,1501.508980853312,1.5089808533121933
Fischer Madison,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,39.0,1506.3628194820353,1506.7662200173463,0.40340053531088416
KOIKE Hana,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,39.0,1498.39025932104,1499.1651749537637,0.774915632723566
Wienand Roxana,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,41.0,1507.1550410738637,1506.7121019091105,-0.44293916475321987
Papetti Federica,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,41.0,1500.0,1499.8900360064436,-0.10996399355644557
Cohaut Flavy,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,43.0,1500.0,1499.0798453225336,-0.9201546774662881
Kikuchi Saki,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,43.0,1500.0,1499.079308935321,-0.9206910646789237
Daziano Irina,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,45.0,1500.0,1498.2686456531544,-1.7313543468456207
Pérez Duato Rebeca,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,45.0,1500.0,1498.2676363980377,-1.7323636019622897
Madere Maya,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,47.0,1500.0,1497.456499972329,-2.543500027670869
Becerra Rocio Ailen,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,47.0,1500.0,1497.45501730888,-2.5449826911198903
Hayes Tara,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,49.0,1497.5879450170612,1494.343647668659,-3.2442973484021005
Medici Giulia,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,49.0,1500.0,1496.641516259822,-3.3584837401778316
Lochner Leonie,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,51.0,1500.0,1495.8294319677366,-4.170568032263442
Dreamer Maya,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,51.0,1494.1726774344538,1490.2709068810746,-3.9017705533793343
Wood Jennifer,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,53.0,1503.1829693871537,1498.0493464170431,-5.133622970110526
Torres Illamola Aida,IFSC - Climbing World Cup (B) - Brixen (ITA) 2022,2022,Boulder,Women,Qualification,53.0,1491.141182494788,1486.5650068015216,-4.576175693266319
