name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo,discipline,era_name,gender
Kolokas Ioannis,1487.4172505172676,1,-12.58,,50.0,1487.42,1487.42,Boulder,IFSC,Men
Takeuchi Toshiaki,1487.4135721945036,5,-2.52,11.2,24.0,1482.75,1496.23,Boulder,IFSC,Men
Morrison Ry,1487.389816543039,3,-4.2,4.13,36.67,1487.39,1496.84,Boulder,IFSC,Men
Blokker Damien,1487.3608407526967,1,-12.64,,49.0,1487.36,1487.36,Boulder,IFSC,Men
Krastev Ivaylo,1487.3265104570664,1,-12.67,,60.0,1487.33,1487.33,Boulder,IFSC,Men
Mayer Martin,1487.3256804981002,1,-12.67,,32.0,1487.33,1487.33,Boulder,IFSC,Men
Peng Kuei Chi,1487.2999243034842,1,-12.7,,59.0,1487.3,1487.3,Boulder,IFSC,Men
Quintana Jaime Hendrik,1487.282447221267,1,-12.72,,48.0,1487.28,1487.28,Boulder,IFSC,Men
Foygel Pavlo,1487.221228768785,1,-12.78,,47.0,1487.22,1487.22,Boulder,IFSC,Men
Mejia Hector,1487.2174341433004,1,-12.78,,66.0,1487.22,1487.22,Boulder,IFSC,Men
Ito Hidekazu,1487.1869826433972,1,-12.81,,42.0,1487.19,1487.19,Boulder,IFSC,Men
Seo Sungbo,1487.1828033568693,9,-1.42,4.68,34.89,1487.18,1501.69,Boulder,IFSC,Men
Lo Wan I,1487.17104215959,1,-12.83,,39.0,1487.17,1487.17,Boulder,IFSC,Men
MARCUS Nimrod,1487.1519228867248,4,-3.21,7.5,36.75,1487.15,1499.02,Boulder,IFSC,Men
Luo Ivan,1487.1017488032728,1,-12.9,,127.0,1487.1,1487.1,Boulder,IFSC,Men
Dard Yohann,1487.058153269079,3,-4.31,2.81,26.67,1487.06,1497.23,Boulder,IFSC,Men
Boldyrev Danyil,1487.0445126151485,1,-12.96,,50.0,1487.04,1487.04,Boulder,IFSC,Men
Dusic Gianfranco,1487.043865560443,1,-12.96,,60.0,1487.04,1487.04,Boulder,IFSC,Men
Sharma Mrityunjay,1487.0405180379016,1,-12.96,,28.0,1487.04,1487.04,Boulder,IFSC,Men
Esparta Frade Andoni,1487.013014955391,1,-12.99,,97.0,1487.01,1487.01,Boulder,IFSC,Men
Romans Pjahns,1487.007037011687,1,-12.99,,97.0,1487.01,1487.01,Boulder,IFSC,Men
Dennis Chua,1486.9988851980268,11,-1.18,5.22,27.73,1483.28,1501.72,Boulder,IFSC,Men
McNamee Guy,1486.9964102300094,13,-1.0,5.95,49.31,1485.05,1513.87,Boulder,IFSC,Men
Ilin Alexey,1486.9844908956627,1,-13.02,,27.0,1486.98,1486.98,Boulder,IFSC,Men
Bydtaev Sergei,1486.9780996518173,1,-13.02,,45.0,1486.98,1486.98,Boulder,IFSC,Men
Wolsey-Heard Ashleigh,1486.9660568272805,1,-13.03,,25.0,1486.97,1486.97,Boulder,IFSC,Men
Morozov Nikolai,1486.9629392167324,1,-13.04,,53.0,1486.96,1486.96,Boulder,IFSC,Men
Sauceda Rodríguez José Alejandro,1486.9607102744244,1,-13.04,,67.0,1486.96,1486.96,Boulder,IFSC,Men
Paukaiev Artem,1486.957382761067,1,-13.04,,53.0,1486.96,1486.96,Boulder,IFSC,Men
Shevchenko Vladislav,1486.9518239394374,1,-13.05,,53.0,1486.95,1486.95,Boulder,IFSC,Men
Alber Love  Ymer,1486.9213965112242,2,-6.54,1.09,82.0,1486.92,1492.69,Boulder,IFSC,Men
Israfilov Ilham,1486.8405690208376,1,-13.16,,53.0,1486.84,1486.84,Boulder,IFSC,Men
Kvitsiani Almatsgir,1486.83520862645,1,-13.16,,53.0,1486.84,1486.84,Boulder,IFSC,Men
Karabas Mümin,1486.835201534291,2,-6.58,2.3,43.5,1486.84,1491.79,Boulder,IFSC,Men
Mulaosmanovic  Salih,1486.8298460506348,1,-13.17,,53.0,1486.83,1486.83,Boulder,IFSC,Men
Schramm Anton,1486.8060921845863,2,-6.6,1.14,58.0,1486.81,1494.21,Boulder,IFSC,Men
Ioannou Michalis,1486.7994007758816,1,-13.2,,59.0,1486.8,1486.8,Boulder,IFSC,Men
Silva Kühne Marvin,1486.7951842192151,1,-13.2,,37.0,1486.8,1486.8,Boulder,IFSC,Men
Sadeghimahani Hossein,1486.7944607945171,1,-13.21,,59.0,1486.79,1486.79,Boulder,IFSC,Men
Bashkirtsev Evgeny,1486.791921342402,1,-13.21,,47.0,1486.79,1486.79,Boulder,IFSC,Men
Massonnet Gaëtan,1486.7867426032117,1,-13.21,,56.0,1486.79,1486.79,Boulder,IFSC,Men
Grünebach Markus,1486.7815015857443,1,-13.22,,32.0,1486.78,1486.78,Boulder,IFSC,Men
Tkach Yaroslav,1486.7697619876642,1,-13.23,,94.0,1486.77,1486.77,Boulder,IFSC,Men
Viberg Benjamin,1486.7496763820518,1,-13.25,,32.0,1486.75,1486.75,Boulder,IFSC,Men
Jafari Mahmoudabadi Mohammad,1486.7332771150348,3,-4.42,9.28,32.33,1486.73,1499.65,Boulder,IFSC,Men
Orjuela Cesar,1486.7270624161383,1,-13.27,,52.0,1486.73,1486.73,Boulder,IFSC,Men
Schnöller Lukas,1486.7088701421517,1,-13.29,,36.0,1486.71,1486.71,Boulder,IFSC,Men
Krulwich Daniel,1486.707677452937,1,-13.29,,45.0,1486.71,1486.71,Boulder,IFSC,Men
Ferčák Viliam,1486.703800619665,2,-6.65,4.84,26.5,1486.7,1489.93,Boulder,IFSC,Men
TORRIJO EMILIANO,1486.6904611656366,1,-13.31,,123.0,1486.69,1486.69,Boulder,IFSC,Men
Gouveia Anderson,1486.664336905562,1,-13.34,,49.0,1486.66,1486.66,Boulder,IFSC,Men
CHRISTENSEN Santiago,1486.6540842359343,1,-13.35,,69.0,1486.65,1486.65,Boulder,IFSC,Men
Gouveia Carlos Augusto,1486.652301051314,1,-13.35,,49.0,1486.65,1486.65,Boulder,IFSC,Men
WEBER Franz Josef,1486.6515939418314,1,-13.35,,65.0,1486.65,1486.65,Boulder,IFSC,Men
Jones Justin,1486.640254345006,1,-13.36,,49.0,1486.64,1486.64,Boulder,IFSC,Men
Lai Chi-Wai,1486.6400847915029,4,-3.34,5.53,30.5,1486.64,1500.7,Boulder,IFSC,Men
Pobe Katleho,1486.6327153802033,1,-13.37,,69.0,1486.63,1486.63,Boulder,IFSC,Men
Sifakis Michael,1486.6289863944862,1,-13.37,,69.0,1486.63,1486.63,Boulder,IFSC,Men
Lipman Amiad,1486.622269131954,2,-6.69,9.64,83.5,1486.49,1486.62,Boulder,IFSC,Men
Arnarson Guðmundur Freyr,1486.6037993527814,2,-6.7,4.01,89.5,1486.6,1490.46,Boulder,IFSC,Men
Schuldt Torsten,1486.5822440836534,1,-13.42,,48.0,1486.58,1486.58,Boulder,IFSC,Men
Konishi Daisuke,1486.5620580685058,1,-13.44,,50.0,1486.56,1486.56,Boulder,IFSC,Men
Shchervianin Aleksei,1486.55670002715,2,-6.72,3.41,28.0,1486.56,1490.87,Boulder,IFSC,Men
"Low Kien Seong, Francis",1486.5469703633194,1,-13.45,,61.0,1486.55,1486.55,Boulder,IFSC,Men
Escorihuela Bernat,1486.54220709047,1,-13.46,,61.0,1486.54,1486.54,Boulder,IFSC,Men
Trotter Andrew,1486.5374421327886,1,-13.46,,61.0,1486.54,1486.54,Boulder,IFSC,Men
Roca Lopez Pol,1486.5244554590588,9,-1.5,4.93,33.0,1483.33,1499.4,Boulder,IFSC,Men
PEDRO García Fernández Del Valle,1486.504396674547,1,-13.5,,77.0,1486.5,1486.5,Boulder,IFSC,Men
STELIOU JOSHUA KYRI,1486.496821270701,1,-13.5,,77.0,1486.5,1486.5,Boulder,IFSC,Men
Chvala Jan,1486.4762695478817,10,-1.35,7.34,26.6,1486.48,1510.36,Boulder,IFSC,Men
KODAN Mandeep,1486.4686490980605,1,-13.53,,29.0,1486.47,1486.47,Boulder,IFSC,Men
Rindi Sufriyanto,1486.4599718037337,1,-13.54,,33.0,1486.46,1486.46,Boulder,IFSC,Men
Gan Ming Shu,1486.4580637589186,1,-13.54,,66.0,1486.46,1486.46,Boulder,IFSC,Men
Kim Jaha,1486.4508250215404,14,-0.97,6.98,24.57,1476.0,1497.87,Boulder,IFSC,Men
MYRONENKO Mykyta,1486.4508058775496,1,-13.55,,91.0,1486.45,1486.45,Boulder,IFSC,Men
Maslov Alexander,1486.431963673388,1,-13.57,,28.0,1486.43,1486.43,Boulder,IFSC,Men
Halasa Rafal,1486.4314429147987,1,-13.57,,46.0,1486.43,1486.43,Boulder,IFSC,Men
Leffeck Jonas,1486.4300851058767,1,-13.57,,95.0,1486.43,1486.43,Boulder,IFSC,Men
Artaui Terdpol,1486.4218641326229,1,-13.58,,40.0,1486.42,1486.42,Boulder,IFSC,Men
Molina Franco Javier Iván,1486.4057374584513,1,-13.59,,51.0,1486.41,1486.41,Boulder,IFSC,Men
Li Beiji,1486.3726304622671,2,-6.81,1.01,35.5,1486.37,1493.9,Boulder,IFSC,Men
Eguez Esteban,1486.3552561679558,1,-13.64,,64.0,1486.36,1486.36,Boulder,IFSC,Men
Lanuza Cristian,1486.3289462644518,1,-13.67,,56.0,1486.33,1486.33,Boulder,IFSC,Men
Sparis Dimitrios,1486.323002747521,1,-13.68,,33.0,1486.32,1486.32,Boulder,IFSC,Men
Sántha Róbert,1486.3179423804536,1,-13.68,,110.0,1486.32,1486.32,Boulder,IFSC,Men
SEBROS Victor,1486.3123693138075,1,-13.69,,110.0,1486.31,1486.31,Boulder,IFSC,Men
Zavacky David,1486.308140176996,1,-13.69,,56.0,1486.31,1486.31,Boulder,IFSC,Men
Hromada Filip,1486.3067939794496,1,-13.69,,110.0,1486.31,1486.31,Boulder,IFSC,Men
Amarasinghe Reshmin Mihin,1486.297731203304,1,-13.7,,73.0,1486.3,1486.3,Boulder,IFSC,Men
Djaparidze Giorgi,1486.2896119604038,1,-13.71,,73.0,1486.29,1486.29,Boulder,IFSC,Men
Padovani Greg,1486.2861489125353,1,-13.71,,39.0,1486.29,1486.29,Boulder,IFSC,Men
Chávez Luis,1486.2800979093613,1,-13.72,,68.0,1486.28,1486.28,Boulder,IFSC,Men
Ivanov Petar,1486.2735145929792,5,-2.75,6.43,37.4,1478.71,1492.67,Boulder,IFSC,Men
Cavé Leto,1486.2533198962683,3,-4.58,5.9,65.67,1486.25,1495.0,Boulder,IFSC,Men
Vassilev Vasil,1486.2484800592297,1,-13.75,,129.0,1486.25,1486.25,Boulder,IFSC,Men
Flores William,1486.2448971766055,1,-13.76,,63.0,1486.24,1486.24,Boulder,IFSC,Men
Favre Nils,1486.220630364562,28,-0.49,5.65,43.11,1484.22,1523.16,Boulder,IFSC,Men
Yilmaz Ugur,1486.2053237758485,2,-6.9,5.92,50.0,1486.21,1488.92,Boulder,IFSC,Men
Fenton Benjamin,1486.200341008648,1,-13.8,,36.0,1486.2,1486.2,Boulder,IFSC,Men
Allenspach Philippe,1486.1940172123632,6,-2.3,5.31,23.17,1486.19,1497.45,Boulder,IFSC,Men
Mérida Bryan,1486.1915192890365,1,-13.81,,36.0,1486.19,1486.19,Boulder,IFSC,Men
Withey Ryan,1486.1577003748191,1,-13.84,,39.0,1486.16,1486.16,Boulder,IFSC,Men
Graham Chris,1486.1560318653435,1,-13.84,,57.0,1486.16,1486.16,Boulder,IFSC,Men
NAZRILAZDIN Muhammad Akif Nukman,1486.1036910602938,1,-13.9,,59.0,1486.1,1486.1,Boulder,IFSC,Men
VICENTE Donovan,1486.0933748079835,1,-13.91,,59.0,1486.09,1486.09,Boulder,IFSC,Men
HANNA Benjamin,1486.086264420367,3,-4.64,8.51,38.67,1482.03,1487.05,Boulder,IFSC,Men
MAIKOTOV Azat,1486.0830509053308,1,-13.92,,59.0,1486.08,1486.08,Boulder,IFSC,Men
SOFOKLEOUS Christos,1486.072719346681,1,-13.93,,59.0,1486.07,1486.07,Boulder,IFSC,Men
ALHADDAD Taher,1486.0623801263744,1,-13.94,,59.0,1486.06,1486.06,Boulder,IFSC,Men
Doloh Samsuding,1486.0418036119408,1,-13.96,,34.0,1486.04,1486.04,Boulder,IFSC,Men
Ye Xiangyang,1486.0323557723698,1,-13.97,,34.0,1486.03,1486.03,Boulder,IFSC,Men
Mora Iman,1486.0180156790527,1,-13.98,,89.0,1486.02,1486.02,Boulder,IFSC,Men
Goudal Pierre Eric,1486.0111811420206,1,-13.99,,31.0,1486.01,1486.01,Boulder,IFSC,Men
Ben Yossef Yossi,1486.0008376937806,1,-14.0,,53.0,1486.0,1486.0,Boulder,IFSC,Men
De la Cruz Albarracin Jose Emilio,1485.995032859632,1,-14.0,,53.0,1486.0,1486.0,Boulder,IFSC,Men
Guzman Manuel,1485.98922562108,1,-14.01,,53.0,1485.99,1485.99,Boulder,IFSC,Men
Moskal Patryk,1485.9868514183188,1,-14.01,,33.0,1485.99,1485.99,Boulder,IFSC,Men
FIRAS MUHAMMAD AYMAN,1485.963771128649,1,-14.04,,67.0,1485.96,1485.96,Boulder,IFSC,Men
MUSAUWIR MUSAUWIR,1485.9373824649024,1,-14.06,,127.0,1485.94,1485.94,Boulder,IFSC,Men
Kisielius Ignas,1485.93588134517,2,-7.03,6.77,87.0,1485.94,1488.18,Boulder,IFSC,Men
Georgiev Marian,1485.9168550142592,3,-4.69,11.72,25.33,1485.92,1500.82,Boulder,IFSC,Men
Vasilets Alexander,1485.8790058136678,1,-14.12,,29.0,1485.88,1485.88,Boulder,IFSC,Men
Borman  Gregory Raymond,1485.8608266790443,1,-14.14,,59.0,1485.86,1485.86,Boulder,IFSC,Men
Tasevski Vasil,1485.850156246323,1,-14.15,,59.0,1485.85,1485.85,Boulder,IFSC,Men
Post Andrew,1485.8423223274297,1,-14.16,,55.0,1485.84,1485.84,Boulder,IFSC,Men
Aldoseri Abdulla,1485.8114362673984,1,-14.19,,54.0,1485.81,1485.81,Boulder,IFSC,Men
Khopko Alexander,1485.7999221250254,1,-14.2,,48.0,1485.8,1485.8,Boulder,IFSC,Men
Shafranskyi Yaroslav,1485.7865838827213,1,-14.21,,48.0,1485.79,1485.79,Boulder,IFSC,Men
HAN WONWOO,1485.7660286474038,2,-7.12,2.89,47.5,1485.77,1494.93,Boulder,IFSC,Men
RAJAN Lokesh,1485.7652081240308,1,-14.23,,93.0,1485.77,1485.77,Boulder,IFSC,Men
TAŞ TİMUR,1485.750243168943,1,-14.25,,97.0,1485.75,1485.75,Boulder,IFSC,Men
Guvenc Baris,1485.7385903447555,1,-14.26,,60.0,1485.74,1485.74,Boulder,IFSC,Men
Valsamidis Matthaios,1485.716451351203,2,-7.14,5.77,50.0,1485.72,1496.94,Boulder,IFSC,Men
La Mont Denver,1485.6913315914717,1,-14.31,,69.0,1485.69,1485.69,Boulder,IFSC,Men
Sivro Paso,1485.6762025637056,1,-14.32,,54.0,1485.68,1485.68,Boulder,IFSC,Men
NOËL Alexandre,1485.672901301215,2,-7.16,2.43,67.0,1485.67,1494.55,Boulder,IFSC,Men
Zampas Konstantinos,1485.6661945734816,1,-14.33,,63.0,1485.67,1485.67,Boulder,IFSC,Men
Macià Llobet Lluc,1485.6637708621934,2,-7.17,7.32,84.0,1485.66,1487.66,Boulder,IFSC,Men
Morgado Sílvio,1485.661119789778,1,-14.34,,63.0,1485.66,1485.66,Boulder,IFSC,Men
Danila Marius Emil,1485.5734959888543,1,-14.43,,40.0,1485.57,1485.57,Boulder,IFSC,Men
Cardenas Mateo,1485.539110944605,1,-14.46,,65.0,1485.54,1485.54,Boulder,IFSC,Men
Camargo Felipe,1485.5307295048008,2,-7.23,1.96,44.0,1485.53,1494.15,Boulder,IFSC,Men
Katsitadze Soso,1485.5298426826157,1,-14.47,,65.0,1485.53,1485.53,Boulder,IFSC,Men
MATA VELASQUEZ Andrey,1485.5250166656533,1,-14.47,,65.0,1485.53,1485.53,Boulder,IFSC,Men
Pugh-Williams  Mark,1485.5201890410017,1,-14.48,,65.0,1485.52,1485.52,Boulder,IFSC,Men
Zhang Yuhang,1485.515359808127,1,-14.48,,65.0,1485.52,1485.52,Boulder,IFSC,Men
Matuszek Jacek,1485.4993357172432,2,-7.25,11.0,54.0,1485.5,1500.53,Boulder,IFSC,Men
Fuertes Olles Ignacio,1485.4930246177505,1,-14.51,,32.0,1485.49,1485.49,Boulder,IFSC,Men
SAUCEDA RODRÍGUEZ José Alejandro,1485.490889293828,1,-14.51,,67.0,1485.49,1485.49,Boulder,IFSC,Men
SARAMANDIF Terence,1485.48134956391,1,-14.52,,67.0,1485.48,1485.48,Boulder,IFSC,Men
Veloria John Joseph,1485.470601822539,1,-14.53,,91.0,1485.47,1485.47,Boulder,IFSC,Men
Serlachius Fredrik,1485.44836968687,8,-1.82,2.89,68.62,1485.45,1502.5,Boulder,IFSC,Men
Burns Dominic,1485.418065036754,5,-2.92,8.27,41.6,1485.42,1504.56,Boulder,IFSC,Men
Kiechle-Cornish Alex,1485.3984177684397,1,-14.6,,134.0,1485.4,1485.4,Boulder,IFSC,Men
Lee Yongsu,1485.3905281161544,2,-7.3,4.18,42.0,1485.39,1489.74,Boulder,IFSC,Men
Pasquill Ryan,1485.3793150337865,2,-7.31,5.79,45.5,1485.38,1488.59,Boulder,IFSC,Men
CHAN Cheung-Chi Shoji,1485.369020624385,2,-7.32,0.74,60.5,1485.37,1493.21,Boulder,IFSC,Men
Abu Hassan Khairul Hafiz,1485.3503132375586,3,-4.88,6.22,24.33,1485.35,1497.28,Boulder,IFSC,Men
SHAIKH Ajij,1485.343104839155,2,-7.33,5.76,28.0,1485.34,1496.74,Boulder,IFSC,Men
Kamaropoulos Zafeiris,1485.3371062232748,1,-14.66,,54.0,1485.34,1485.34,Boulder,IFSC,Men
Ruh Matthias,1485.3347836905325,1,-14.67,,59.0,1485.33,1485.33,Boulder,IFSC,Men
Avdeenko Artem,1485.3170191918116,1,-14.68,,35.0,1485.32,1485.32,Boulder,IFSC,Men
Saul Hamish,1485.3071095387943,1,-14.69,,52.0,1485.31,1485.31,Boulder,IFSC,Men
FLORES William,1485.1386460901665,1,-14.86,,62.0,1485.14,1485.14,Boulder,IFSC,Men
Smigelskis Marijus,1485.1297464446618,1,-14.87,,33.0,1485.13,1485.13,Boulder,IFSC,Men
Lalov Boyko,1485.1185162191734,4,-3.72,5.27,38.75,1485.12,1500.29,Boulder,IFSC,Men
Johnson Alex,1485.1172089145011,4,-3.72,6.63,37.0,1480.9,1495.23,Boulder,IFSC,Men
SONUGA Olukayode Adeyemi,1485.1153910245616,1,-14.88,,81.0,1485.12,1485.12,Boulder,IFSC,Men
HELGASON Sólon Thorberg,1485.0917167715545,1,-14.91,,95.0,1485.09,1485.09,Boulder,IFSC,Men
Ágh István,1485.088167693764,1,-14.91,,39.0,1485.09,1485.09,Boulder,IFSC,Men
Och Tumur,1485.0406585960363,1,-14.96,,64.0,1485.04,1485.04,Boulder,IFSC,Men
Vara Ricardo,1485.0353626134486,1,-14.96,,64.0,1485.04,1485.04,Boulder,IFSC,Men
Juárez Lester,1485.0300647582667,1,-14.97,,64.0,1485.03,1485.03,Boulder,IFSC,Men
Valran Sébastien,1485.0229068702429,6,-2.5,4.0,26.17,1482.43,1494.29,Boulder,IFSC,Men
Szell Csaba,1484.9857671583793,1,-15.01,,42.0,1484.99,1484.99,Boulder,IFSC,Men
FELLNER Stefan,1484.9685846507566,2,-7.52,7.56,40.5,1484.97,1497.83,Boulder,IFSC,Men
edvardsen Elias,1484.7989548988835,2,-7.6,3.8,49.5,1484.8,1495.08,Boulder,IFSC,Men
Petrovski Dejan,1484.743018030564,1,-15.26,,55.0,1484.74,1484.74,Boulder,IFSC,Men
Palut Dogan Oguz,1484.678720509277,1,-15.32,,53.0,1484.68,1484.68,Boulder,IFSC,Men
Jeliga Marek,1484.625812865322,3,-5.12,4.98,79.33,1484.63,1489.61,Boulder,IFSC,Men
LEVIN Geva,1484.6221427449414,2,-7.69,0.73,56.0,1484.62,1491.8,Boulder,IFSC,Men
Lackner Mario,1484.591646987234,1,-15.41,,82.0,1484.59,1484.59,Boulder,IFSC,Men
LACTAOEN Allen,1484.5782405076056,1,-15.42,,97.0,1484.58,1484.58,Boulder,IFSC,Men
RIVADENEIRA Paolo,1484.5771792655587,1,-15.42,,53.0,1484.58,1484.58,Boulder,IFSC,Men
LOREDO DURAN Jorge,1484.5575178546344,1,-15.44,,70.0,1484.56,1484.56,Boulder,IFSC,Men
Crespo Cobos Alejandro,1484.5410258043632,7,-2.21,4.06,64.71,1484.54,1495.92,Boulder,IFSC,Men
Lai Kin Wah,1484.5355380720243,2,-7.73,4.99,27.0,1484.54,1495.8,Boulder,IFSC,Men
Smigelskis Edvinas,1484.521134858392,1,-15.48,,25.0,1484.52,1484.52,Boulder,IFSC,Men
Svub Jakub Jiri,1484.476428995626,2,-7.76,4.53,50.5,1484.48,1489.04,Boulder,IFSC,Men
Portsev Aleksei,1484.4200451441925,2,-7.79,5.28,43.0,1484.42,1495.95,Boulder,IFSC,Men
Bildircin Cemil Çağlar,1484.409380414446,1,-15.59,,65.0,1484.41,1484.41,Boulder,IFSC,Men
Larson Josh,1484.3790318677918,18,-0.87,5.72,24.44,1482.94,1501.78,Boulder,IFSC,Men
BIAGINI Pietro,1484.3604397232773,2,-7.82,3.94,63.0,1484.36,1494.97,Boulder,IFSC,Men
Maibam Chingkheinganba,1484.3274454021564,6,-2.61,8.26,55.33,1470.67,1489.13,Boulder,IFSC,Men
Petrakov Artem,1484.2548635272692,11,-1.43,5.78,22.82,1482.54,1497.54,Boulder,IFSC,Men
Ristovski Ilija,1484.148433326853,1,-15.85,,56.0,1484.15,1484.15,Boulder,IFSC,Men
PEDROZA DIAZ DE LEÓN Lucas,1484.0902223596306,1,-15.91,,71.0,1484.09,1484.09,Boulder,IFSC,Men
CHICAIZA Tomas,1483.9600135864466,1,-16.04,,54.0,1483.96,1483.96,Boulder,IFSC,Men
LE COUSTER Yoann,1483.9471508406068,2,-8.03,1.79,26.0,1483.95,1493.24,Boulder,IFSC,Men
Gifford Joseph,1483.8679236692965,2,-8.07,3.38,48.0,1483.87,1489.55,Boulder,IFSC,Men
Di Nino Gianstefano,1483.8616422216753,2,-8.07,2.75,96.5,1483.86,1493.88,Boulder,IFSC,Men
Lazure Sebastien,1483.843463723652,31,-0.52,6.01,27.55,1452.85,1490.58,Boulder,IFSC,Men
TARRAZONA GASQUE Ignasi,1483.7893771192576,14,-1.16,6.2,25.36,1471.89,1502.66,Boulder,IFSC,Men
Krakenberger Franz,1483.7782518126687,4,-4.06,4.09,31.25,1483.78,1490.57,Boulder,IFSC,Men
Schwark Richard,1483.7205999795417,2,-8.14,2.2,82.0,1483.72,1490.31,Boulder,IFSC,Men
Estevez  Isaac,1483.7081393905114,3,-5.43,9.66,43.33,1478.0,1489.55,Boulder,IFSC,Men
Pecikiewicz Szymon,1483.6603621346503,2,-8.17,2.66,49.5,1483.66,1493.71,Boulder,IFSC,Men
Shafenejad Pouya,1483.639236260596,2,-8.18,0.19,49.0,1483.64,1491.96,Boulder,IFSC,Men
Preciado Brión Carlos,1483.61592965437,2,-8.19,3.24,27.5,1483.62,1494.1,Boulder,IFSC,Men
Förander Fabian,1483.516554618708,2,-8.24,0.62,100.5,1483.52,1492.19,Boulder,IFSC,Men
Hoyer Hugo,1483.4235504051924,8,-2.07,4.07,50.25,1483.42,1506.76,Boulder,IFSC,Men
Ludford Adam,1483.1712739809464,2,-8.41,1.63,41.0,1483.17,1492.74,Boulder,IFSC,Men
Ebler Erik,1483.0166525376796,2,-8.49,1.59,48.5,1483.02,1490.39,Boulder,IFSC,Men
WANG DingGuo,1483.01042594439,2,-8.49,0.36,28.0,1483.01,1491.76,Boulder,IFSC,Men
Treuilhe Christophe,1482.988944413912,2,-8.51,9.21,17.5,1482.99,1498.01,Boulder,IFSC,Men
Castellanos Luis,1482.9779753701805,2,-8.51,1.45,97.0,1482.98,1490.46,Boulder,IFSC,Men
LINDFORS Axel,1482.6919170680237,2,-8.65,3.09,72.5,1482.69,1489.16,Boulder,IFSC,Men
West Ben,1482.6598444868955,4,-4.34,4.05,26.25,1482.62,1494.22,Boulder,IFSC,Men
Priestley Sefton,1482.5922135198728,2,-8.7,6.14,38.0,1482.59,1495.64,Boulder,IFSC,Men
Martine Brice,1482.5354675418127,2,-8.73,2.34,40.0,1482.54,1489.61,Boulder,IFSC,Men
Urrutia Joaquin,1482.4969408261068,3,-5.83,6.15,79.0,1481.23,1490.33,Boulder,IFSC,Men
Komjáti Zoltán,1482.4854896448776,2,-8.76,0.32,43.0,1482.49,1491.02,Boulder,IFSC,Men
LOPEZ VALDEZ Hector,1482.4736222360805,2,-8.76,3.6,31.5,1482.47,1488.69,Boulder,IFSC,Men
Pavel Gabriel,1482.2601736368729,2,-8.87,4.32,43.0,1482.26,1494.19,Boulder,IFSC,Men
Wojciechowski Tomasz,1482.2489957622645,2,-8.88,7.09,46.5,1482.25,1496.14,Boulder,IFSC,Men
Samyn Remi,1482.2331745806027,3,-5.92,7.29,32.33,1479.91,1488.5,Boulder,IFSC,Men
Jeliga Jan,1482.1077919353525,4,-4.47,8.53,37.25,1482.11,1497.61,Boulder,IFSC,Men
Iwai Shigeo,1482.0526461888462,2,-8.97,4.34,36.5,1482.05,1487.96,Boulder,IFSC,Men
Mora Pariente Eduardo,1481.9924456094448,2,-9.0,2.07,49.5,1481.99,1489.53,Boulder,IFSC,Men
DENNIS Chua,1481.934425561839,2,-9.03,3.46,54.0,1481.93,1488.52,Boulder,IFSC,Men
Radkov Ivaylo,1481.9330674188573,4,-4.52,3.88,37.0,1481.93,1496.15,Boulder,IFSC,Men
LARSEN Palmer,1481.7737387574307,2,-9.11,0.53,43.5,1481.77,1491.26,Boulder,IFSC,Men
Schmid Thomas,1481.7405110660277,2,-9.13,2.13,58.5,1481.74,1492.37,Boulder,IFSC,Men
Ciccione Jérémie,1481.6286212735856,2,-9.19,1.23,24.0,1481.63,1489.94,Boulder,IFSC,Men
Fernandez Raphael,1481.5042398912997,3,-6.17,6.75,32.33,1481.5,1496.8,Boulder,IFSC,Men
Vacka Bruno,1481.4852208145116,4,-4.63,3.88,28.75,1481.49,1490.95,Boulder,IFSC,Men
Nevelik Ondrej,1481.4012728389143,14,-1.33,6.37,25.43,1471.15,1490.83,Boulder,IFSC,Men
Bobina Juozas,1481.2764606451062,2,-9.36,3.09,47.0,1481.28,1492.83,Boulder,IFSC,Men
Neves Ricardo,1481.2576996281307,2,-9.37,3.1,47.0,1481.26,1492.82,Boulder,IFSC,Men
Levin Josh,1481.1353684578778,7,-2.69,4.91,36.71,1481.14,1489.39,Boulder,IFSC,Men
Müller Marco,1481.125794237376,4,-4.72,1.17,33.75,1481.13,1495.4,Boulder,IFSC,Men
Mamiri Tonny,1480.9430878260432,2,-9.53,2.2,42.0,1480.94,1488.91,Boulder,IFSC,Men
Watson Martin,1480.8351188696176,2,-9.58,1.29,26.0,1480.84,1489.51,Boulder,IFSC,Men
Huhtikorpi Kuutti,1480.8220315233,2,-9.59,1.35,36.0,1480.82,1489.46,Boulder,IFSC,Men
Middlehurst Ned,1480.6959574575612,3,-6.43,5.99,46.0,1480.7,1486.64,Boulder,IFSC,Men
SIVAKOV Roman,1480.67960429942,2,-9.66,1.2,74.0,1480.68,1491.19,Boulder,IFSC,Men
Picq Davic,1480.619811275864,2,-9.69,2.72,39.0,1480.62,1492.23,Boulder,IFSC,Men
Verdasco Urizal Sergio,1480.5723887912402,11,-1.77,4.62,33.09,1478.62,1491.94,Boulder,IFSC,Men
HUANG JINBIN,1480.468558757821,6,-3.26,5.3,66.33,1476.73,1498.19,Boulder,IFSC,Men
Kaspars Vilks,1480.4214358297224,2,-9.79,5.04,78.0,1480.42,1486.65,Boulder,IFSC,Men
