name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P1_LowZone,P2_Top,P2_Zone,P2_LowZone,P3_Top,P3_Zone,P3_LowZone,P4_Top,P4_Zone,P4_LowZone,Route_1
Duffy Colin,USA,12.0,114.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,1,1.0,X,5,1.0,X,3,2.0,36
Kawamata Rei,JPN,13.0,114.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,3,2.0,X,8,1.0,X,2,1.0,36+
YOSHIDA Satone,JPN,14.0,112.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,1.0,X,2,1.0,X,X,1.0,X,X,5.0,38+
Higuchi Masahiro,JPN,15.0,105.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,1,1.0,X,X,1.0,X,X,1.0,36+
Fujii Kokoro,JPN,16.0,103.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,2,1,1.0,X,X,1.0,X,4,1.0,29+
Roberts Toby,GBR,17.0,99.9,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,3,3,2.0,X,1,1.0,X,10,4.0,X,X,2.0,33+
YUN Shinyeong,KOR,18.0,97.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,1,1.0,X,2,2.0,X,X,1.0,X,4,4.0,32+
Puman Hannes,SWE,19.0,91.0,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,7,4.0,X,X,3.0,X,4,1.0,30+
Van Duysen Hannes,BEL,20.0,88.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,1.0,X,1,1.0,X,X,1.0,X,3,2.0,29+
Avezou Sam,FRA,21.0,88.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,3,1.0,X,3,1.0,X,X,2.0,29+
Peharc Anze,SLO,22.0,88.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,4,2.0,3,3,1.0,X,X,2.0,23+
Nagel Yannick,GER,23.0,83.8,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,3,1,1.0,X,1,1.0,X,X,1.0,X,X,2.0,29+
Schweiger Christoph,GER,24.0,77.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,1,1,1.0,X,3,1.0,X,X,1.0,X,X,3.0,27+
GOH WEN BIN Luke,SGP,25.0,69.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,2,2,1.0,X,2,1.0,X,X,1.0,X,6,6.0,21+
Baudrand Oscar,CAN,26.0,63.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,1.0,X,5,3.0,X,X,1.0,X,X,,29+
RAMADHAN RAVIANDI,INA,27.0,63.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,6,2.0,X,2,1.0,X,X,1.0,X,X,,29+
Schröter Thilo Jeldrik,NOR,28.0,53.2,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,1.0,X,3,2.0,X,X,3.0,X,X,4.0,23
HO Cheuk-hei,HKG,29.0,51.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,1.0,X,5,1.0,X,X,1.0,X,X,3.0,22+
Chan Cheung-chi Shoji,HKG,30.0,50.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,1.0,X,1,1.0,X,X,1.0,X,X,1.0,21+
KIM DOHYEON,KOR,31.0,49.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,1.0,X,2,1.0,X,X,1.0,X,X,4.0,21+
Martin Philipp,GER,32.0,49.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,1,1.0,X,1,1.0,X,X,1.0,X,X,,23+
Ho Foganholo Felipe ,BRA,33.0,48.5,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,2,1.0,X,X,2.0,X,X,2.0,X,X,4.0,23+
CHEN YONGCHEN,CHN,34.0,46.6,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,3,1.0,X,3,2.0,X,X,1.0,X,X,,22
RAMADHAN RAVIANTO,INA,35.0,43.4,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,3,2.0,X,X,2.0,X,X,5.0,X,X,,23+
Lin Chia Hsiang,TPE,36.0,35.1,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,1.0,X,X,1.0,X,X,1.0,X,X,,21+
Yau Ka-chun,HKG,37.0,30.7,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,1.0,X,4,3.0,X,X,1.0,X,X,1.0,12
AU Chi-fung,HKG,,DNS,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,,X,X,,X,X,,X,X,,
Nouri Amir,IRI,,DNS,"IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022",1234,2022,Japan,Boulder&lead,Men,Qualification,2022-10-20,/api/v1/category_rounds/7553/results,/api/v1/events/1234/result/617,X,X,,X,X,,X,X,,X,X,,
