name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,start_date,event_results,source_file,file_year,file_path,round,category_round_results,route_1,route_2,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,final_winner,final_time,small final_winner,small final_time,p1_top,p1_zone,p2_top,p2_zone,p3_top,p3_zone,p4_top,p4_zone,p5_top,p5_zone,quali_time_a,quali_time_b,p1_lowzone,p2_lowzone,p3_lowzone,p4_lowzone,boulder_score,boulder_rank,lead_score,lead_rank,comp_date,comp_location,comp_discipline,comp_gender,comp_round,processed_at,scoring_era
Loskot Clemens,AUT,41.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Sartori Nicola,ITA,41.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Steulet Philippe,SUI,41.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Tcherechnev Oleg,RUS,46.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Ushizawa Keiichi,JPN,47.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Toman Marcel,CZE,48.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Matlschwaiger Michael,AUT,49.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Wilson Kelly,CAN,49.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Coffy François,FRA,51.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
Jacobs Erik,NED,51.0,,UIAA Worldcup - Innsbruck 1991,102,1991,Innsbruck,Lead,Men,1991-09-19,/api/v1/events/102/result/1,1991-09-19_Innsbruck_Lead_Men_no-round.csv,1991,Results_Expanded_API/1991/1991-09-19_Innsbruck_Lead_Men_no-round.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991-09-19,Innsbruck,Lead,Men,no-round,2025-08-30 15:32:19.900638,Lead_UIAA_pre2007
