name,event,year,discipline,gender,round,rank,elo_before,elo_after,elo_change,athlete_comp_sequence,rolling_avg_elo,prev_rank,rank_improvement
AOYAGI Mia,IFSC World Cup Innsbruck 2023,2023,Boulder,Women,Qualification,19.0,1530.4446806710669,1540.1976409855372,9.752960314470394,11.0,1525.8724397943968,25.0,6.0
AOYAGI Mia,IFSC World Cup Innsbruck 2023,2023,Boulder,Women,Semi-final,14.0,1540.1976409855372,1538.539807139517,-1.657833846020191,12.0,1531.6211618966013,19.0,5.0
AOYAGI Mia,IFSC World Cup Prague 2023,2023,Boulder,Women,Qualification,11.0,1538.539807139517,1549.6939451122441,11.154137972727014,13.0,1536.6203334095867,14.0,3.0
AOYAGI Mia,IFSC World Cup Prague 2023,2023,Boulder,Women,Semi-final,16.0,1549.6939451122441,1543.3665911477365,-6.327353964507625,14.0,1540.4485330112202,11.0,-5.0
AOYAGI Mia,IFSC World Cup Salt Lake City 2023,2023,Boulder,Women,Qualification,19.0,1543.3665911477365,1549.2538133088417,5.887222161105211,15.0,1544.2103595387753,16.0,-3.0
AOYAGI Mia,IFSC World Cup Salt Lake City 2023,2023,Boulder,Women,Semi-final,14.0,1549.2538133088417,1546.6976354770984,-2.556177831743273,16.0,1545.5103584370877,19.0,5.0
AOYAGI Mia,IFSC World Cup Seoul 2023,2023,Boulder,Women,Qualification,25.0,1546.6976354770984,1552.6123131041868,5.914677627088316,17.0,1548.3248596300216,14.0,-11.0
APEL Anna Maria,IFSC World Cup Innsbruck 2024,2024,Boulder,Women,Qualification,1.0,1500.0,1515.9520510061304,15.952051006130418,1.0,1515.9520510061304,,
APEL Anna Maria,IFSC World Cup Innsbruck 2024,2024,Boulder,Women,Semi-final,8.0,1515.9520510061304,1521.1758087714932,5.223757765362735,2.0,1518.5639298888118,1.0,-7.0
APEL Anna Maria,IFSC World Cup Prague 2024,2024,Boulder,Women,Qualification,11.0,1521.1758087714932,1531.1568553433171,9.981046571824091,3.0,1522.7615717069802,8.0,-3.0
APEL Anna Maria,IFSC World Cup Prague 2024,2024,Boulder,Women,Semi-final,8.0,1531.1568553433171,1535.7007655303198,4.54391018700269,4.0,1525.996370162815,11.0,3.0
ARNOLD Rosa,IFSC World Cup Prague 2024,2024,Boulder,Women,Qualification,57.0,1500.0,1486.3963899241173,-13.60361007588264,1.0,1486.3963899241173,,
ARUN Prateeksha,IFSC World Cup Innsbruck 2024,2024,Boulder,Women,Qualification,71.0,1500.0,1489.2395294034209,-10.760470596579099,1.0,1489.2395294034209,,
AVEZOU Zélia,IFSC World Cup Prague 2024,2024,Boulder,Women,Final,5.0,1500.0,1492.3157130054726,-7.684286994527425,1.0,1492.3157130054726,,
AVEZOU Zélia,IFSC World Cup Prague 2024,2024,Boulder,Women,Qualification,3.0,1492.3157130054726,1507.8297324824696,15.514019476996946,2.0,1500.072722743971,5.0,2.0
AVEZOU Zélia,IFSC World Cup Prague 2024,2024,Boulder,Women,Semi-final,4.0,1507.8297324824696,1520.1446481557832,12.314915673313735,3.0,1506.7633645479084,3.0,-1.0
AVEZOU Zélia,IFSC World Cup Seoul 2024,2024,Boulder,Women,Final,2.0,1520.1446481557832,1533.3299566269388,13.185308471155695,4.0,1513.405012567666,4.0,2.0
AVEZOU Zélia,IFSC World Cup Seoul 2024,2024,Boulder,Women,Qualification,8.0,1533.3299566269388,1544.41576915578,11.0858125288413,5.0,1519.6071638852889,2.0,-6.0
AVEZOU Zélia,IFSC World Cup Seoul 2024,2024,Boulder,Women,Semi-final,2.0,1544.41576915578,1559.4224808128993,15.006711657119281,6.0,1533.0285174467742,8.0,6.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2007,Boulder,Women,Qualification,7.0,1500.0,1509.2579947651914,9.257994765191482,1.0,1509.2579947651914,,
Abgrall Emilie,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2007,Boulder,Women,Semi-Final,9.0,1509.2579947651914,1512.8331751372268,3.575180372035506,2.0,1511.045584951209,7.0,-2.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,2007,Boulder,Women,Qualification,16.0,1521.1056074015603,1523.798617593274,2.693010191713801,8.0,1518.2897046374649,9.0,-7.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,2007,Boulder,Women,Semi-Final,17.0,1523.798617593274,1515.4529488902872,-8.34566870298686,9.0,1519.060231393937,16.0,-1.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,2008,Boulder,Women,Qualification,28.0,1512.8331751372268,1506.6675340611723,-6.165641076054589,3.0,1509.5862346545302,17.0,-11.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2008,Boulder,Women,Qualification,15.0,1506.6675340611723,1511.6003151079262,4.932781046753916,4.0,1510.0897547678792,28.0,13.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2008,Boulder,Women,Semi-Final,10.0,1511.6003151079262,1515.342918116312,3.742603008385723,5.0,1511.1403874375658,15.0,5.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2008,Boulder,Women,Qualification,15.0,1515.342918116312,1519.6010649682519,4.258146851939929,6.0,1513.209001478178,10.0,-5.0
Abgrall Emilie,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2008,Boulder,Women,Semi-Final,12.0,1519.6010649682519,1521.1056074015603,1.5045424333084028,7.0,1514.8634879310443,15.0,3.0
Abgrall Emilie,"IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011",2011,Boulder,Women,Qualification,34.0,1515.4529488902872,1509.173529951757,-6.279418938530067,10.0,1517.826353761026,12.0,-22.0
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Final,4.0,1510.3391790954067,1507.51688883128,-2.8222902641265812,3.0,1509.9587041975883,,
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Qualification,4.0,1507.51688883128,1520.5700527793156,13.053163948035479,4.0,1512.61154134302,4.0,0.0
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Semi-Final,4.0,1520.5700527793156,1531.4054560356888,10.83540325637327,5.0,1516.3703242815538,4.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Brno (CZE) 2007,2007,Boulder,Women,Final,4.0,1567.1763763027288,1563.4338678325607,-3.7425084701680102,10.0,1553.5005320640466,4.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Brno (CZE) 2007,2007,Boulder,Women,Qualification,5.0,1563.4338678325607,1573.423536918672,9.989669086111144,11.0,1561.9078640125886,4.0,-1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Brno (CZE) 2007,2007,Boulder,Women,Semi-Final,5.0,1573.423536918672,1580.744009496518,7.320472577846028,12.0,1568.4338578262661,5.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2007,Boulder,Women,Qualification,11.0,1568.160058617879,1567.0967615316717,-1.0632970862073519,16.0,1575.6024193801602,5.0,-6.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Erlangen (GER) 2007,2007,Boulder,Women,Semi-Final,12.0,1567.0967615316717,1562.8647571037027,-4.23200442796905,17.0,1572.026568901597,11.0,-1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007,2007,Boulder,Women,Qualification,9.0,1562.8647571037027,1568.9954216853862,6.130664581683569,18.0,1568.0092613308123,12.0,3.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2007,2007,Boulder,Women,Semi-Final,13.0,1568.9954216853862,1563.7771422478836,-5.218279437502701,19.0,1566.1788282373047,9.0,-4.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,2007,Boulder,Women,Qualification,4.0,1590.6715127687396,1600.8876800547089,10.216167285969373,25.0,1588.9073151387695,13.0,9.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,2007,Boulder,Women,Semi-Final,7.0,1600.8876800547089,1604.7177351032367,3.83005504852781,26.0,1595.2536935171106,4.0,-3.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,2007,Boulder,Women,Final,5.0,1608.7416872882163,1600.4327544267271,-8.308932861489204,31.0,1608.7070929862807,7.0,2.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,2007,Boulder,Women,Qualification,1.0,1600.4327544267271,1613.2898077971224,12.857053370395215,32.0,1609.4383710979866,5.0,4.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2007,2007,Boulder,Women,Semi-Final,1.0,1613.2898077971224,1626.8252584495283,13.535450652405906,33.0,1612.695664927653,1.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,2007,Boulder,Women,Final,1.0,1685.6304683046053,1697.5901454149532,11.959677110347943,58.0,1685.580572557919,1.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,2007,Boulder,Women,Qualification,2.0,1697.5901454149532,1705.8974408820054,8.307295467052104,59.0,1690.5625537372148,1.0,-1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Sofia (BUL) 2007,2007,Boulder,Women,Semi-Final,1.0,1705.8974408820054,1716.4145189487954,10.517078066790068,60.0,1695.9800424149569,2.0,1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,2008,Boulder,Women,Final,3.0,1563.7771422478836,1567.3515060893387,3.5743638414550567,20.0,1566.0171177315965,1.0,-2.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,2008,Boulder,Women,Qualification,11.0,1567.3515060893387,1572.9858432115307,5.63433712219193,21.0,1567.1949340675683,3.0,-8.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,2008,Boulder,Women,Semi-Final,1.0,1572.9858432115307,1588.6028285946927,15.616985383162104,22.0,1572.3425483657663,11.0,10.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2008,Boulder,Women,Qualification,10.0,1604.7177351032367,1609.6334172385923,4.915682135355684,27.0,1599.4598112458905,1.0,-9.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,2008,Boulder,Women,Semi-Final,9.0,1609.6334172385923,1610.5387893011948,0.9053720626024907,28.0,1603.2898268932945,10.0,1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2008,2008,Boulder,Women,Final,2.0,1626.8252584495283,1637.283528603777,10.458270154248755,34.0,1617.3146073130742,9.0,7.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2008,2008,Boulder,Women,Qualification,8.0,1637.283528603777,1643.7687339638949,6.485205360117757,35.0,1624.32001664821,2.0,-6.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2008,2008,Boulder,Women,Semi-Final,2.0,1643.7687339638949,1655.8540164288718,12.085282464976991,36.0,1635.404269048639,8.0,6.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2008,Boulder,Women,Final,2.0,1654.7195345242023,1664.4955133888438,9.77597886464142,45.0,1653.3618599265567,2.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2008,Boulder,Women,Qualification,14.0,1664.4955133888438,1663.77666468945,-0.7188486993939716,46.0,1655.0094523385935,2.0,-12.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,2008,Boulder,Women,Semi-Final,3.0,1663.77666468945,1674.0211639977122,10.244499308262325,47.0,1660.3235825950749,14.0,11.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,2008,Boulder,Women,Final,3.0,1666.8225648392142,1672.320845188422,5.498280349207851,53.0,1668.46224823306,3.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,2008,Boulder,Women,Qualification,3.0,1672.320845188422,1680.987534985527,8.666689797104898,54.0,1672.8675511777649,3.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,2008,Boulder,Women,Semi-Final,3.0,1680.987534985527,1689.3270755600836,8.339540574556683,55.0,1676.6800894948512,3.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008  ,2008,Boulder,Women,Final,5.0,1745.6273391393029,1734.843531163221,-10.783807976081789,70.0,1731.9662690149999,3.0,-2.0
Abramchuk Yulia,IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008  ,2008,Boulder,Women,Qualification,1.0,1734.843531163221,1742.893784540149,8.050253376927806,71.0,1735.0443687524262,5.0,4.0
Abramchuk Yulia,IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008  ,2008,Boulder,Women,Semi-Final,6.0,1742.893784540149,1746.1671255576252,3.2733410174761817,72.0,1740.1026063291422,1.0,-5.0
Abramchuk Yulia,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,Boulder,Women,Final,1.0,1531.386877175963,1548.11404042813,16.72716325216704,7.0,1527.7986630500757,6.0,5.0
Abramchuk Yulia,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,Boulder,Women,Qualification,9.0,1548.11404042813,1557.391498580851,9.277458152721014,8.0,1537.7735849999897,1.0,-8.0
Abramchuk Yulia,IFSC Climbing World Championships  - Qinghai (CHN) 2009,2009,Boulder,Women,Semi-Final,4.0,1557.391498580851,1567.1763763027288,9.784877721877791,9.0,1547.0948497046725,9.0,5.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2009,2009,Boulder,Women,Qualification,3.0,1580.744009496518,1589.08195953931,8.33795004279206,13.0,1574.7719500179578,4.0,1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2009,2009,Boulder,Women,Semi-Final,19.0,1589.08195953931,1572.9293077154218,-16.152651823888114,14.0,1575.9225363004964,3.0,-16.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,2009,Boulder,Women,Final,3.0,1655.8540164288718,1660.587288846997,4.7332724181250825,37.0,1644.8637652586137,19.0,16.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,2009,Boulder,Women,Qualification,6.0,1660.587288846997,1663.6424211534388,3.055132306441909,38.0,1652.2271977993958,3.0,-3.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,2009,Boulder,Women,Semi-Final,4.0,1663.6424211534388,1670.3054738473934,6.663052693954676,39.0,1658.831586848119,6.0,2.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,2009,Boulder,Women,Final,5.0,1655.5387026292653,1647.4505127153045,-8.088189913960875,42.0,1662.078202348181,4.0,-1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,2009,Boulder,Women,Qualification,15.0,1647.4505127153045,1644.6050363751665,-2.845476340138087,43.0,1658.2707253925266,5.0,-10.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,2009,Boulder,Women,Semi-Final,3.0,1644.6050363751665,1654.7195345242023,10.114498149035875,44.0,1655.1535375278884,15.0,12.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Wien (AUT) 2009,2009,Boulder,Women,Qualification,4.0,1716.4145189487954,1722.3525054928325,5.937986544037137,61.0,1705.5770158086384,3.0,-1.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Wien (AUT) 2009,2009,Boulder,Women,Semi-Final,9.0,1722.3525054928325,1722.1592952614094,-0.1932102314230012,62.0,1712.8827811999993,4.0,-5.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,2010,Boulder,Women,Qualification,24.0,1572.9293077154218,1568.160058617879,-4.769249097542806,15.0,1576.8677744575602,9.0,-15.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2010,Boulder,Women,Qualification,9.0,1588.6028285946927,1591.388711064175,2.785882469482211,23.0,1576.8212062415241,24.0,15.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Greifensee (SUI) 2010,2010,Boulder,Women,Semi-Final,11.0,1591.388711064175,1590.6715127687396,-0.7171982954353732,24.0,1582.2000803456954,9.0,-2.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Munich (GER) 2010,2010,Boulder,Women,Final,6.0,1674.0211639977122,1660.6943437015639,-13.326820296148206,48.0,1663.5414440603545,11.0,5.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Munich (GER) 2010,2010,Boulder,Women,Qualification,16.0,1660.6943437015639,1658.9610202620029,-1.733323439560905,49.0,1664.3897412079145,6.0,-10.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Munich (GER) 2010,2010,Boulder,Women,Semi-Final,3.0,1658.9610202620029,1670.264383974653,11.303363712650022,50.0,1665.5435153250764,16.0,13.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,2010,Boulder,Women,Final,6.0,1689.3270755600836,1674.3676385244257,-14.959437035657869,56.0,1676.7651318195344,3.0,-3.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2010,2010,Boulder,Women,Qualification,1.0,1674.3676385244257,1685.6304683046053,11.262829780179477,57.0,1680.5267125126127,6.0,5.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,2010,Boulder,Women,Qualification,1.0,1722.1592952614094,1731.234803602987,9.075508341577773,63.0,1719.6117128376059,1.0,0.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,2010,Boulder,Women,Semi-Final,14.0,1731.234803602987,1724.3354478343028,-6.8993557686842,64.0,1723.2993142280654,1.0,-13.0
Abramchuk Yulia,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2010,Boulder,Women,Final,5.0,1727.503285853019,1720.8759376740445,-6.627348178974486,67.0,1726.0508162882318,14.0,9.0
Abramchuk Yulia,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2010,Boulder,Women,Qualification,3.0,1720.8759376740445,1730.981251245412,10.105313571367567,68.0,1726.0001058167168,5.0,2.0
Abramchuk Yulia,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2010",2010,Boulder,Women,Semi-Final,1.0,1730.981251245412,1745.6273391393029,14.646087893890767,69.0,1730.2584840777167,3.0,2.0
Abramchuk Yulia,IFSC Climbing World Championship - Paris (FRA) 2012,2012,Boulder,Women,Qualification,16.0,1531.4054560356888,1531.386877175963,-0.01857885972564599,6.0,1520.2436907835308,1.0,-15.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Munich (GER) 2012,2012,Boulder,Women,Qualification,12.0,1670.264383974653,1673.9424269010085,3.678042926355504,51.0,1667.576667767388,16.0,4.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Munich (GER) 2012,2012,Boulder,Women,Semi-Final,14.0,1673.9424269010085,1666.8225648392142,-7.119862061794368,52.0,1666.1369479356886,12.0,-2.0
Abramchuk Yulia,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,6.0,1500.0,1512.0200446660776,12.020044666077542,1.0,1512.0200446660776,14.0,8.0
Abramchuk Yulia,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,12.0,1512.0200446660776,1510.3391790954067,-1.6808655706709015,2.0,1511.1796118807422,6.0,-6.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 ,2014,Boulder,Women,Qualification,9.0,1610.5387893011948,1614.1888166766719,3.6500273754769528,29.0,1607.9932876748808,12.0,3.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2014 ,2014,Boulder,Women,Semi-Final,13.0,1614.1888166766719,1608.7416872882163,-5.447129388455471,30.0,1609.5640891215824,9.0,-4.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,2014,Boulder,Women,Qualification,8.0,1670.3054738473934,1673.4539013955032,3.1484275481097783,40.0,1664.7686203344408,13.0,5.0
Abramchuk Yulia,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,2014,Boulder,Women,Semi-Final,19.0,1673.4539013955032,1655.5387026292653,-17.915198766237882,41.0,1664.7055575745194,8.0,-11.0
Abramchuk Yulia,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",2014,Boulder,Women,Qualification,11.0,1724.3354478343028,1726.3046064768043,1.9691586425014664,65.0,1725.2773317336673,19.0,8.0
Abramchuk Yulia,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",2014,Boulder,Women,Semi-Final,9.0,1726.3046064768043,1727.503285853019,1.1986793762146881,66.0,1726.3074878057046,11.0,2.0
Achury Catalina,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,35.0,1500.0,1487.5347624604801,-12.46523753951987,1.0,1487.5347624604801,,
Ackre Anne,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",2022,Boulder,Women,Qualification,92.0,1500.0,1485.9087769561847,-14.091223043815317,1.0,1485.9087769561847,,
Ackre Anne,IFSC World Championships Bern 2023,2023,Boulder,Women,Qualification,59.0,1485.9087769561847,1486.3546299952166,0.4458530390318653,2.0,1486.1317034757008,92.0,33.0
Ackre Anne,IFSC World Cup Prague 2023,2023,Boulder,Women,Qualification,39.0,1486.3546299952166,1487.4561748954354,1.1015449002188977,3.0,1486.5731939489458,59.0,20.0
Adamovska Eliska,IFSC Climbing World Championships - Hachioji (JPN) 2019,2019,Boulder,Women,Qualification,28.0,1513.6233058719395,1509.8684843819083,-3.7548214900311656,3.0,1509.6871587033793,,
Adamovska Eliska,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019 ,2019,Boulder,Women,Qualification,31.0,1509.8684843819083,1506.9269038226607,-2.941580559247536,4.0,1508.9970949831995,28.0,-3.0
Adamovska Eliska,IFSC Climbing Worldcup (B) - Munich (GER) 2019,2019,Boulder,Women,Qualification,31.0,1506.9269038226607,1501.4481987677625,-5.478705054898133,5.0,1507.487315740112,31.0,0.0
Adamovska Eliska,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",2021,Boulder,Women,Qualification,27.0,1500.0,1505.56968585629,5.56968585629014,1.0,1505.56968585629,31.0,4.0
Adamovska Eliska,IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022,2022,Boulder,Women,Qualification,21.0,1505.56968585629,1513.6233058719395,8.05362001564932,2.0,1509.5964958641148,27.0,6.0
Adamovska Eliska,IFSC World Championships Bern 2023,2023,Boulder,Women,Qualification,47.0,1501.4481987677625,1504.7505985269722,3.3023997592098318,6.0,1507.3234982742488,21.0,-26.0
Adamovska Eliska,IFSC World Cup Hachioji 2023,2023,Boulder,Women,Qualification,56.0,1504.7505985269722,1498.434744886186,-6.315853640786042,7.0,1504.2857860770978,47.0,-9.0
