Unnamed: 0,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
55,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Men,Final,2010-07-24,/api/v1/category_rounds/1411/results,/api/v1/events/616/result/2
56,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
57,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Final,2010-07-24,/api/v1/category_rounds/1409/results,/api/v1/events/616/result/6
58,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Men,Qualification,2010-07-30,/api/v1/category_rounds/1415/results,/api/v1/events/617/result/3
59,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Men,Semi-Final,2010-07-30,/api/v1/category_rounds/1416/results,/api/v1/events/617/result/3
60,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Men,Final,2010-07-30,/api/v1/category_rounds/1417/results,/api/v1/events/617/result/3
61,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Qualification,2010-07-30,/api/v1/category_rounds/1412/results,/api/v1/events/617/result/7
62,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7
63,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Final,2010-07-30,/api/v1/category_rounds/1414/results,/api/v1/events/617/result/7
64,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Men,Qualification,2010-08-20,/api/v1/category_rounds/1422/results,/api/v1/events/618/result/1
65,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Men,Final,2010-08-20,/api/v1/category_rounds/1423/results,/api/v1/events/618/result/1
66,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5
67,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Final,2010-08-20,/api/v1/category_rounds/1419/results,/api/v1/events/618/result/5
68,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Qualification,2010-08-20,/api/v1/category_rounds/1424/results,/api/v1/events/618/result/2
69,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Men,Final,2010-08-20,/api/v1/category_rounds/1425/results,/api/v1/events/618/result/2
70,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Women,Qualification,2010-08-20,/api/v1/category_rounds/1420/results,/api/v1/events/618/result/6
71,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Speed,Women,Final,2010-08-20,/api/v1/category_rounds/1421/results,/api/v1/events/618/result/6
72,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Men,Qualification,2010-08-28,/api/v1/category_rounds/1431/results,/api/v1/events/619/result/1
73,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Men,Semi-Final,2010-08-28,/api/v1/category_rounds/1432/results,/api/v1/events/619/result/1
